termid,docid
8,684
27,4666
34,7573
44,8657
96,1670
104,4784
107,4388
114,5357
115,7336
131,9689
134,5791
147,7267
149,7669
154,1035
164,9092
171,961
172,2655
173,6105
204,7925
238,1785
285,3851
301,8327
304,6115
317,6006
329,3618
337,1
350,3410
355,4165
359,9547
366,2207
368,5807
374,7919
395,1344
404,5074
425,8807
477,8753
478,4846
505,4189
526,3809
527,6056
527,5565
528,1828
528,456
541,3688
566,6843
567,8312
577,1384
580,1931
587,6274
601,107
603,9614
609,8995
616,4652
619,1379
623,6291
639,8224
642,9906
647,6640
649,1418
655,2834
672,3036
695,5450
700,620
707,2439
723,1008
723,6768
740,3693
741,7560
792,6237
793,7955
797,1297
835,6615
836,1507
863,1291
863,7167
867,4294
890,8899
895,6447
896,4683
952,7966
960,9019
962,4159
964,6751
966,3867
990,7580
997,3245
1039,1521
1039,1598
1062,3201
1063,4522
1079,8811
1081,7801
1092,3332
1097,5504
1112,4448
1115,3096
1122,5673
1125,3698
1132,2517
1151,6954
1153,4511
1162,2314
1166,6542
1170,129
1175,3697
1188,6738
1198,6899
1231,7831
1237,8768
1238,1469
1265,65
1288,1261
1288,1617
1293,9334
1294,9097
1333,5047
1369,4025
1393,6950
1417,1857
1422,3546
1426,4538
1473,2976
1483,5116
1529,6582
1529,8488
1529,6237
1532,6179
1536,2793
1549,7446
1556,5841
1576,5154
1583,1623
1586,4956
1599,7034
1609,7641
1640,4601
1652,4312
1668,6492
1675,1078
1685,17
1691,3325
1706,7885
1711,9058
1731,6975
1735,9983
1739,5528
1744,5217
1763,1927
1783,5241
1789,1645
1824,3170
1826,937
1827,6132
1835,5066
1843,9407
1862,2922
1875,242
1879,2513
1880,1284
1880,3987
1881,9450
1889,30
1897,8573
1902,3253
1910,732
1910,337
1911,8918
1931,1356
1935,8029
1941,9898
1961,7413
1969,9161
1977,8514
1978,2191
1985,5555
2036,9886
2074,8162
2084,8265
2088,4439
2095,1674
2107,5963
2111,1251
2118,7410
2126,2256
2131,1500
2135,4747
2137,6823
2139,2035
2142,324
2169,3296
2174,6865
2177,9487
2185,4559
2209,4307
2218,6466
2222,609
2230,8877
2240,3967
2261,77
2266,7508
2269,4649
2285,7749
2286,2718
2289,9014
2293,5809
2293,7430
2302,6239
2308,9921
2323,559
2352,1359
2355,6858
2358,2804
2363,9466
2373,9723
2382,4117
2385,2247
2392,641
2409,2040
2417,867
2420,7538
2427,6137
2449,8042
2452,6332
2459,799
2460,6720
2476,7051
2482,765
2489,4653
2498,2584
2498,6567
2531,6546
2539,1926
2555,2348
2569,4437
2573,8932
2575,2738
2604,2586
2612,4414
2614,4066
2617,525
2628,7480
2629,7980
2629,1662
2633,6704
2634,3945
2637,7359
2652,196
2668,7379
2669,9270
2673,5515
2697,5119
2701,3243
2707,6434
2708,1818
2715,6090
2715,2377
2717,2178
2721,3019
2754,640
2758,7690
2761,9221
2771,4391
2776,1189
2778,7743
2783,1449
2787,2201
2820,781
2833,1847
2835,8046
2841,9604
2849,2501
2855,225
2859,2448
2859,8810
2870,3865
2885,2060
2893,279
2897,5559
2898,2864
2899,6992
2925,1890
2931,2129
2942,4481
2946,7467
2948,3286
2950,3725
2957,3613
