termid,docid
3,3951
8,5109
16,6953
37,1220
43,5456
44,3030
47,6760
49,5077
57,9329
65,6669
68,4063
68,2072
89,3409
101,4910
103,9645
105,4084
132,2313
133,8113
138,9900
143,759
151,8513
165,2156
192,4959
222,6020
230,4198
231,708
239,3482
261,9220
265,9571
268,6300
283,1036
286,2146
298,9115
306,2042
312,3149
329,1204
334,4248
365,7113
382,301
392,684
400,1234
406,5391
408,5296
428,5313
432,1353
433,9049
437,2802
438,638
440,3591
445,5272
456,7601
456,1311
463,2795
464,7615
472,1701
477,1613
480,2370
480,2051
495,7232
506,788
516,7353
522,8111
529,3473
536,71
539,9623
548,652
584,12
614,9275
631,9285
638,1749
645,3043
646,5416
658,1280
662,9681
676,6538
715,8471
718,3972
731,6509
738,355
749,3105
752,4851
755,2277
756,1744
757,7019
814,1016
815,9186
825,4386
838,8358
839,3825
856,5855
869,2847
875,1122
884,3156
898,6319
907,8361
911,1866
927,4152
940,4585
965,6023
968,5626
971,4909
1006,9282
1014,444
1018,6051
1023,1201
1036,5224
1042,2474
1062,7901
1081,5588
1106,9699
1122,7348
1124,1214
1152,554
1176,8215
1206,2185
1209,4266
1222,8489
1227,9276
1241,6138
1260,3476
1260,1221
1295,2621
1317,1304
1325,964
1338,2848
1373,5891
1380,9040
1388,6016
1397,6859
1404,6916
1419,5893
1421,2010
1437,9557
1477,5322
1497,3860
1503,2362
1505,2889
1511,18
1512,2339
1543,8397
1547,1207
1549,7467
1558,427
1560,3004
1562,1186
1581,3069
1584,7629
1587,1243
1592,185
1595,8085
1600,445
1609,8313
1610,3697
1653,7949
1653,3778
1671,8172
1690,222
1693,7307
1700,4196
1704,5549
1705,4130
1714,9732
1715,930
1725,4445
1737,1446
1740,1269
1744,4894
1776,6495
1782,3330
1789,6835
1794,6227
1801,500
1803,5422
1807,4809
1845,1402
1850,4484
1853,9888
1876,8739
1880,181
1892,11
1902,9156
1906,6144
1933,7360
1936,4799
1954,8647
1956,6688
1958,8643
1963,3974
1970,7096
1973,4452
1977,1751
1977,9135
1986,4278
1991,360
2008,4666
2017,6601
2017,1476
2046,5655
2057,4530
2057,3499
2070,883
2072,1839
2080,9610
2089,2370
2105,1107
2114,7152
2116,1946
2137,716
2154,1890
2158,557
2162,6387
2164,6739
2171,5727
2189,3436
2202,4027
2207,1981
2207,2424
2215,8408
2216,2370
2219,2686
2223,92
2240,3565
2253,3183
2281,3343
2283,822
2288,9263
2308,753
2308,3900
2336,1764
2343,141
2343,1507
2343,9133
2353,6005
2367,3811
2370,6993
2374,3060
2379,2523
2381,8169
2399,9128
2416,3372
2454,9252
2459,1360
2476,2917
2476,2962
2492,1944
2499,9394
2504,4581
2554,241
2574,6058
2581,3949
2589,5817
2597,2099
2607,8840
2621,8696
2652,2077
2678,5033
2686,9774
2702,2201
2711,4235
2716,289
2727,3898
2736,981
2739,3698
2744,3882
2754,9686
2754,9247
2762,510
2762,1522
2765,4443
2769,8907
2777,8929
2791,3003
2793,7883
2795,7116
2813,3649
2824,6393
2827,2216
2831,5115
2861,5895
2871,1371
2889,7613
2896,2773
2910,5447
2924,2747
2941,9983
2950,9832
2955,7881
2968,9758
2983,2875
2989,8127
3002,9442
3003,6430
3004,638
3009,9466
3021,7174
3040,9580
3041,3243
3045,7674
3049,1369
3072,7426
3099,3786
3117,6937
3134,4608
3144,5655
3161,3621
3162,1834
3185,549
3186,6375
3186,8740
3187,2818
3192,3787
3193,3047
3204,1919
3212,3234
3239,1725
3252,6212
3254,9650
3260,9760
3261,7655
3261,3966
3261,8489
3272,637
3272,535
3288,1811
3346,7661
3350,2278
3358,1155
3368,9919
3387,2703
3391,7838
3401,3687
3412,7470
3428,3215
3432,654
3438,9541
3439,1607
3472,372
3484,7918
3491,5824
3493,3881
3497,7875
3497,6771
3512,6940
3515,1919
3517,3085
3519,7415
3532,1644
3537,4168
3545,7160
3551,3497
3556,4422
3558,4292
3569,5412
3572,992
3579,4922
3598,2323
3625,7886
3659,6151
3679,9059
3691,9055
3705,517
3711,1402
3727,2223
3740,8095
3740,2627
3751,3724
3779,334
3792,2989
3822,8130
3827,5471
3833,9517
3835,7559
3836,2834
3848,7848
3857,7712
3861,3259
3891,2514
3894,6512
3908,8920
3908,8835
3919,4478
3921,2628
3934,8011
3935,8387
3956,2102
3959,9217
3962,4577
3975,7399
3979,8102
3980,3370
3985,2686
3985,1422
3998,6890
4007,2595
4044,8677
4058,6504
4076,5390
4092,8178
4100,6045
4110,7046
4130,7701
4135,6275
4137,8051
4144,1154
4171,6965
4172,8819
4182,1733
4190,4710
4197,1218
4198,6615
4209,9230
4214,506
4217,2899
4227,7545
4230,7410
4235,9446
4242,3492
4276,8488
4289,3132
4293,1163
4301,8491
4310,7100
4344,6292
4375,9748
4375,3983
4383,1788
4396,4661
4419,1983
4421,77
4428,3110
4431,968
4431,1925
4440,6707
4450,9980
4454,5725
4463,9792
4471,3754
4478,9219
4487,83
4499,2809
4508,872
4514,2977
4522,7561
4523,2639
4526,966
4559,1323
4572,6353
4579,4813
4596,7529
4598,1051
4604,9434
4613,9570
4614,5601
4624,1434
4638,6133
4661,4875
4661,857
4664,415
4667,8230
4668,1683
4670,4774
4675,187
4680,4963
4685,1681
4696,2929
4713,8326
4725,7042
4734,6122
4742,4558
4743,1516
4744,3514
4750,449
4768,7517
4773,7828
4785,9712
4790,562
4797,4837
4807,2180
4817,9413
4817,5467
4828,7672
4841,7769
4843,4872
4852,3575
4880,1675
4881,6892
4896,4092
4908,7581
4911,8813
4926,1985
4938,2108
4950,2147
4955,8659
4959,2580
4970,183
4979,3021
4981,2972
4981,8532
4990,5732
4994,3904
