termid,docid
2,5339
10,7754
24,1063
26,1058
39,9591
81,4391
89,9032
112,2430
118,2026
120,4089
126,8282
163,8980
171,7204
175,5499
184,4238
212,7475
218,2502
219,873
229,2906
248,328
249,8317
250,5285
277,9003
292,1961
295,7224
306,3314
307,1954
312,9860
320,554
336,955
385,6245
394,7957
399,3295
419,258
450,7314
478,6310
502,8839
503,6925
504,4016
505,6070
518,5139
526,7474
530,3464
534,5477
538,5596
576,2064
590,9980
592,6128
598,40
612,491
630,4824
630,2937
632,7075
638,7179
642,1190
646,4133
659,9266
670,7803
674,8159
699,6295
710,9579
713,182
720,116
725,9478
732,9421
782,9365
786,2024
808,5407
813,8191
842,6286
844,8839
856,2327
886,4788
896,6861
898,2508
900,4376
909,3240
923,2960
936,7534
959,1120
963,8516
980,3167
980,6603
997,2658
1007,3439
1009,7996
1014,7252
1038,7015
1038,3809
1051,3240
1054,7608
1076,8959
1080,8472
1080,7679
1107,7883
1115,6908
1118,380
1139,6320
1140,1088
1142,4915
1148,7734
1171,2418
1192,7717
1193,6544
1215,1581
1233,7535
1235,4218
1247,3580
1278,6004
1278,4670
1290,7662
1317,201
1333,2292
1334,1777
1353,1892
1367,1947
1371,2307
1378,582
1390,3988
1424,5565
1431,1645
1432,1524
1463,2898
1469,7984
1471,5651
1478,6104
1479,5684
1482,3721
1485,5007
1486,7753
1491,5308
1496,5615
1501,2712
1561,7135
1570,1241
1573,8429
1574,1034
1576,2539
1592,7885
1604,3824
1609,8612
1611,4413
1613,6990
1613,39
1616,5771
1621,9035
1629,5819
1632,1891
1634,8029
1636,1519
1652,70
1661,7146
1668,8112
1670,5168
1681,8310
1689,8183
1689,8380
1695,8480
1703,4760
1712,3956
1743,4808
1772,3996
1773,2624
1799,1023
1811,7530
1813,4191
1824,7479
1825,5378
1839,6616
1842,243
1871,745
1888,2928
1896,5134
1901,6280
1932,8950
1946,6617
1958,7089
1961,2724
1984,1450
1996,9628
1996,4629
2000,7457
2004,6875
2016,7945
2017,3151
2033,8856
2065,2291
2068,4753
2071,3452
2079,4839
2081,108
2094,7824
2096,1848
2106,1433
2132,3484
2149,7989
2156,8020
2158,5150
2169,9209
2174,1322
2186,9857
2198,1757
2202,894
2215,8961
2220,725
