termid,docid
46,9367
89,6189
89,7823
92,2980
118,1901
120,607
123,9999
128,6269
131,7718
135,1000
150,3956
151,5883
156,8158
157,8926
179,7854
190,7248
224,7806
257,2849
266,7716
268,8222
272,11
277,7126
297,5446
299,9570
303,9273
305,453
354,3923
369,8283
372,6316
372,8622
375,3649
379,1579
385,6182
389,2979
392,2741
401,3163
405,5246
406,7550
413,5450
426,6528
436,2569
439,5748
439,9243
444,9973
505,6942
511,7575
514,2251
518,3763
523,4375
529,2056
534,5558
534,6358
542,9061
556,9375
556,6913
586,5558
591,9349
608,5025
611,6256
626,6340
633,3329
633,4065
637,7564
641,4991
642,3915
643,7566
649,9194
662,2188
663,5465
672,5229
685,419
696,4017
709,6691
712,902
721,8589
731,3763
744,7478
750,5038
765,8472
777,8702
777,2388
781,484
791,2345
804,1131
804,2089
811,4116
823,5846
843,6229
846,9964
851,1180
855,1750
857,101
866,2678
867,4214
867,4967
877,3255
894,9680
901,1394
904,5484
904,9296
924,5508
929,4407
947,5694
949,9807
952,5381
987,4980
992,1960
998,789
1007,1091
1025,4811
1029,4791
1042,6408
1053,6603
1070,5278
1074,222
1110,3095
1111,6502
1115,7945
1118,1401
1131,2872
1132,7768
1132,7285
1138,6725
1146,6575
1147,3437
1152,5115
1162,4919
1164,9048
1167,7154
1181,3383
1185,8115
1199,6365
1219,1421
1226,4491
1250,9016
1251,2610
1263,1357
1265,1602
1271,5830
1291,6201
1305,5280
1306,9034
1306,4315
1323,5341
1341,8862
1353,8105
1367,4629
1383,1258
1412,1277
1431,972
1434,3270
1437,5965
1440,1911
1444,8981
1466,8568
1477,7969
1480,1657
1488,7452
1491,4380
1496,2152
1504,8252
1541,8858
1551,6883
1574,3053
1577,3102
1602,5205
1606,8754
1611,2823
1614,1098
1626,7734
1650,9916
1672,7647
1672,4717
1684,8074
1684,6092
1688,5543
1693,784
1695,267
1698,9288
1701,6060
1703,2799
1732,6808
1746,599
1755,5740
1766,7959
1776,6082
1776,4459
1789,5672
1801,8569
1801,2433
1811,9010
1812,7623
1813,4387
1822,9777
1822,1174
1835,489
1838,9790
1839,1682
1864,3156
1879,505
1882,6196
1884,8434
1886,7904
1909,5171
1935,1237
1958,6380
1959,7481
1966,9772
1968,6098
1979,4841
2002,3422
2006,1829
2010,9382
2040,8714
2043,6903
2059,4395
2063,1969
2067,3869
2069,2307
