termid,docid
2,1323
4,8312
8,9134
13,5752
17,7067
33,2576
35,2860
48,5302
53,1049
71,2289
81,2875
86,2930
97,4864
106,2157
109,267
114,9612
117,4277
126,8056
146,330
167,4241
173,8761
174,4764
177,3265
180,7771
181,7975
184,9605
191,3815
207,6379
218,4695
223,4031
224,3429
225,6686
229,9786
240,6933
241,5741
250,306
252,7492
262,3177
271,9889
279,1600
298,5560
301,4672
308,4377
310,2831
316,464
327,9298
355,105
362,6963
364,5181
370,4123
376,5994
377,2344
392,1736
397,5973
401,9801
405,5586
419,5369
421,1563
422,5183
430,458
430,4972
442,885
452,3251
496,1791
524,437
529,3443
533,587
534,4997
538,9882
540,150
543,7361
563,299
569,4597
585,3866
586,3870
587,2877
594,3258
607,8826
624,9719
636,2605
639,8327
639,231
651,9408
660,2229
667,6947
680,1322
707,7751
712,5284
726,2243
732,5070
737,9554
738,4068
746,83
767,1319
773,8974
783,859
795,281
800,5808
805,4534
826,5482
828,7204
834,6457
835,1765
836,2297
837,3778
840,4276
844,7549
846,7561
859,4100
861,1173
865,1758
880,8221
880,3429
900,7024
943,3754
945,6923
948,5360
959,2839
964,192
971,2406
974,9676
977,6999
993,1222
1000,4267
1006,2860
1024,1391
1029,6813
1053,9588
1059,8968
1075,2932
1080,2563
1100,7841
1104,153
1107,2647
1108,9711
1133,5463
1140,978
1140,882
1156,1325
1160,1735
1162,8894
1169,1747
1196,7062
1197,4046
1208,4741
1221,99
1222,8261
1240,4211
1254,8607
1258,9208
1278,5923
1284,5891
1285,3907
1288,3779
1304,4058
1312,3885
1313,2538
1325,7602
1327,6948
1339,9477
1344,8378
1354,8035
1383,4997
1422,1980
1422,8681
1425,6406
1427,3921
1438,8776
1446,7723
1457,3891
1463,8104
1481,9184
1484,8972
1492,9540
1518,940
1537,9608
1540,6949
1551,3508
1585,8227
1607,2137
1633,1090
1655,7386
1663,6237
1665,9565
1669,5151
1671,8693
1684,7047
1685,733
1693,2898
1697,3765
1716,8883
1732,5586
1743,2872
1770,5428
1784,3747
1802,1575
1804,4654
1805,1589
1837,8989
1843,5747
1845,3546
1849,5381
1853,1796
1863,595
1878,501
1885,3878
1900,5440
1912,6429
1915,5698
1933,6459
1941,8388
1963,6675
1968,2547
1987,5524
1993,7343
1995,7057
2005,2374
2024,4352
2030,5328
2045,233
2056,8061
2058,3025
2059,7397
2061,8089
2084,1715
2085,8283
2096,466
2101,8328
2115,1204
2130,938
2144,7825
2149,4625
2163,2999
2205,585
2205,6780
2220,6257
2242,2916
2257,7303
2266,4641
2283,3786
2300,4093
2304,2376
2317,7998
2318,2292
2333,2588
2338,899
2338,3073
2340,7825
2342,6533
2372,8986
2384,172
2388,4393
2404,4141
2406,4635
2425,4896
2437,1860
2451,8325
2464,2002
2478,4608
2510,348
2517,8368
2517,4675
2520,4566
2520,5464
2521,7511
2524,6368
2566,6684
2581,5365
2600,4730
2602,9623
2616,5921
2621,1047
2633,8000
2656,6736
2659,1557
2672,2224
2675,2690
2712,685
2714,7464
2721,7126
2726,9720
2734,3545
2751,1871
2758,7525
2771,7545
2779,3199
