termid,docid
3,4185
25,2967
28,7090
42,1097
45,7386
65,7526
70,5196
76,4602
81,300
86,2414
120,4740
126,3943
126,18
136,5874
151,6128
155,8498
158,7602
161,709
170,5824
175,2128
178,3253
190,5606
191,7852
205,1200
210,6673
225,5146
263,3251
267,119
268,9848
274,8750
284,4982
285,4502
306,3028
311,5559
319,748
340,8976
352,5504
361,498
373,7118
377,5383
383,230
399,9931
401,879
404,6376
415,5459
425,6775
433,9618
448,6179
453,8433
454,9182
465,3691
471,8431
475,9806
482,546
489,9971
493,114
506,6711
515,5055
516,3108
517,8759
531,6514
560,3296
571,4558
585,6818
616,6387
665,3331
671,1258
684,6581
694,3834
699,2954
703,1143
708,4912
710,4110
724,6075
732,8170
763,1482
764,1757
765,7143
771,5379
792,8606
820,2234
821,7242
821,376
838,1222
840,9576
841,6823
845,9652
850,1590
853,5654
861,3135
898,4442
901,4714
903,543
908,9050
910,5462
917,413
918,8099
931,9371
951,4940
956,6237
959,8308
963,521
967,5395
973,4791
977,2433
1009,3517
1010,5465
1018,5878
1018,2767
1020,3304
1020,956
1032,3455
1040,2407
1054,2721
1058,4718
1062,8770
1066,5168
1076,6891
1083,1531
1084,5465
1154,8059
1161,1076
1168,5281
1187,7348
1191,5159
1210,7897
1213,1353
1214,5431
1242,9780
1248,3198
1268,9869
1288,7174
1290,2601
1298,3676
1321,8404
1349,417
1355,5064
1374,2899
1381,8846
1383,3481
1383,3184
1427,5042
1430,8683
1464,1025
1473,4298
1478,6360
1480,3356
1481,1519
1491,4159
1496,4206
1501,3265
1505,1293
1511,6234
1515,2833
1535,6560
1543,2590
1543,2055
1552,7051
1571,2472
1581,9842
1582,5881
1592,8943
1603,9631
1613,3068
1626,8334
1630,6256
1638,229
1647,8924
1669,2853
1677,5120
1689,6531
1700,5934
1703,1398
1719,9664
1724,5559
1761,7379
1767,159
1781,5842
1792,5697
1822,2002
1836,9522
1838,5275
1846,658
1849,1162
1866,6543
1877,5525
1886,7751
1923,19
1937,846
1939,6821
1939,6403
1967,3519
1985,1467
1995,4936
1995,2184
2002,2571
2005,987
2034,9001
2040,2265
2050,1749
2060,2534
2068,1693
2081,4889
2103,6601
2104,1400
2112,6396
2113,4963
2117,2987
2123,5541
2129,8285
2151,4000
2153,5895
2167,495
2177,4894
2182,4009
2196,183
2198,6048
2200,8425
2216,1862
2227,8558
2230,9400
2247,2943
2259,6386
2319,1828
2323,5544
2336,1255
2355,6570
2356,7861
2376,8850
2385,3128
2391,3359
2397,3896
2399,7310
2408,6537
2429,3565
2448,7675
2448,8350
2453,52
2466,5601
2468,9333
2500,5317
2501,2838
2522,7671
2540,2881
2545,8756
2552,8837
2565,997
2572,6746
2581,6719
2585,9693
2588,183
2594,1962
2604,1645
2610,8647
2624,9333
2634,6444
2642,8280
2659,9116
2661,2634
