termid,docid
18,15
21,4914
33,7759
51,6806
55,2808
71,6667
71,7229
103,7747
110,5301
113,1005
117,4959
118,516
124,6788
129,8105
131,6742
140,9680
147,2802
150,9670
154,1709
155,2023
155,4220
166,6937
174,4625
178,980
182,738
186,5372
195,3811
202,3653
227,798
240,8686
244,8247
271,9802
274,6830
280,2379
299,6682
300,7383
316,5973
323,8572
332,644
346,1038
364,915
389,5246
408,3976
413,7079
426,8166
430,317
437,2744
438,8063
439,3912
452,5910
454,2283
456,3715
472,5904
473,820
501,2986
523,4279
528,141
537,9928
552,1319
573,2104
600,6957
602,2260
617,9357
623,95
639,2917
640,5855
641,8044
644,1057
652,2239
683,8472
690,8217
694,2374
695,5631
701,6786
706,113
715,1126
716,5144
721,9981
725,7871
726,4786
757,7796
760,5804
766,1829
783,8624
789,5774
804,5767
823,26
828,7647
831,8359
833,6500
833,3411
838,6590
840,7019
841,6098
867,6052
872,5915
874,7646
878,1905
883,6087
886,1339
890,9025
898,4764
904,396
917,8584
921,4120
945,5162
949,7573
957,6995
959,9316
959,8361
979,9389
986,1687
991,7325
1001,8888
1001,7064
1008,4276
1030,4083
1031,9695
1061,2391
1064,3778
1066,249
1069,6270
1077,4753
1083,8165
1090,3963
1115,1397
1130,175
1133,7682
1152,2677
1161,9631
1180,7366
1181,2791
1184,8530
1188,3371
1198,7649
1215,2897
1229,9772
1243,8604
1246,3620
1247,4300
1251,1542
1256,6129
1259,2908
1259,4759
1264,9987
1264,5482
1271,1064
1272,1077
1292,1889
1299,933
1310,9981
1319,8021
1322,4399
1329,7558
1344,3009
1386,7184
1390,538
1400,3391
1412,186
1415,8488
1427,7423
1436,653
1443,9521
1450,1770
1457,4591
1476,7190
1488,5074
1488,3970
1501,9874
1509,5570
1514,3917
1531,4211
1533,5921
1545,6860
1548,68
1559,452
1578,2202
1590,84
1599,7826
1601,5090
1627,9122
1644,8732
1652,5251
1670,6243
1689,5986
1700,2778
1715,1749
1735,2215
1787,8599
1791,9405
1796,478
1796,4308
1800,6446
1806,3135
1808,1418
1811,8746
1815,6610
1842,482
1848,2706
1875,4497
1877,7313
1884,6274
1888,2713
1889,7370
1903,7646
1908,369
1910,3130
1963,6865
1976,9671
1986,3288
1987,615
1987,1998
1995,7088
2006,5188
2032,470
2040,753
2050,7392
2058,8013
2064,4890
2078,9193
2082,975
2091,2976
2100,6815
2101,6862
2106,9980
2107,6656
2123,3728
2125,7842
2130,2639
2139,8421
2145,1825
2147,3422
2190,7531
2197,1733
2208,5192
2217,3826
2230,7140
2230,6594
2243,9900
2261,730
2262,7546
2289,3867
2305,5636
2312,9187
2314,476
2317,1914
2318,1291
2323,992
2325,9255
2327,510
2327,9065
2343,1935
2351,7651
2352,2739
2354,8926
2354,884
2356,2730
2360,946
2374,962
2391,6747
2395,3503
2398,3996
2405,1742
2414,3702
2415,9191
2431,548
2433,4441
2434,3019
2443,6401
2444,761
2461,612
2465,6305
2469,8091
2470,2838
2478,8120
2496,5827
2498,7295
2519,6110
2525,7155
2533,6394
2538,9333
2539,5585
2542,2621
2558,8077
2561,9299
2571,7278
2575,6520
2577,3599
2579,1488
2584,6466
2594,2632
2597,1598
2611,7571
2619,2168
2625,5491
2626,2537
2667,3523
2675,92
2686,350
2709,8654
2711,2950
2731,9576
2736,6942
2741,9717
2756,1260
2797,4259
2807,1085
2808,8105
2811,3962
2816,4826
2821,2064
2825,1088
2836,1594
2843,4114
2846,9967
2846,6964
2861,4781
2920,5365
2929,3242
2944,2993
2960,8421
2983,7921
2986,1361
2987,1999
3007,1074
3007,5179
3023,3524
3026,3358
3030,7005
3032,9629
3042,8930
3058,5779
3073,6955
3081,1640
3090,5658
3112,1042
3114,6874
3116,7941
3157,1807
3165,5382
3202,8780
3204,6592
3210,2610
3238,3845
3260,4834
3284,7590
3297,2644
3300,3571
3327,6091
3342,9641
3342,9028
3351,5436
3365,9666
3373,6080
3373,9763
3419,3576
3423,7924
3453,4681
3458,7521
3462,983
3482,3622
3486,48
3516,8859
3516,6090
3520,7103
3529,2713
3543,1698
3551,3691
3558,7358
3568,7154
3576,4045
3587,9089
3592,6059
3596,1858
3616,9966
3619,2
3631,1785
3637,9380
3642,9056
3652,8927
3674,3495
3680,4132
3700,6569
3705,2542
3709,3072
3721,3698
3731,1083
3752,8246
3753,5978
3803,6580
3804,9613
3811,9321
3855,9150
3871,6854
3879,2494
3880,9134
3893,3761
3909,918
3931,9444
3934,9832
3940,5041
3946,2413
3946,7559
3953,3053
3957,8101
3963,4512
3966,9505
3966,8248
3983,4914
3988,8140
3998,295
4001,5483
4030,3025
4037,1081
4066,8237
4068,467
4071,4320
4080,6436
4088,5572
4101,826
4104,5216
4120,7690
4137,4983
4151,9040
4163,3209
4165,5705
4168,1197
4173,3922
4186,4113
4208,9496
4209,6792
4219,8027
4241,1344
4241,761
4263,5839
4266,6956
4280,9974
4295,3290
4306,2230
4312,3568
4320,2722
4325,6549
4338,832
4360,2238
4368,8973
4373,4512
4419,5503
4422,6487
4430,419
4434,1615
4438,7874
4439,4086
4461,5076
4505,373
4514,8165
4516,3725
4524,1419
4534,8059
4557,1206
4563,1002
4567,55
4570,8283
4572,8300
4591,1762
4611,4577
4630,3507
4651,2651
4651,5207
4651,5498
4661,5981
4682,3566
4696,2899
4711,1939
4712,4506
4745,1734
4750,9837
4752,5759
4754,9135
4777,9887
4778,8125
4800,6466
4817,6518
4837,7468
4838,2227
4843,9982
4863,6467
4865,7940
4869,1340
4878,9552
4883,3103
4893,1520
4895,9716
4897,4562
4925,5341
4935,9635
4956,3547
4956,6313
4969,5765
4982,6567
4998,7178
